msa,Unemployment (%),Remote (%),Travel_Time,Household_Income,Worker_Income
"Spokane-Spokane Valley, WA Metro Area",5.7,12.1,22.7,69752,39908
"Springfield, IL Metro Area",5.2,9.8,19.8,72445,44176
"Springfield, MA Metro Area",5.9,10.5,23.1,70547,41510
"Springfield, MO Metro Area",3.9,7.9,22.5,58291,35736
"Springfield, OH Metro Area",6.8,7.0,22.5,58954,36753
"Starkville, MS Micro Area",6.7,6.3,20.9,45358,25725
"State College, PA Metro Area",4.0,12.1,20.4,70087,33014
"Statesboro, GA Micro Area",8.3,6.7,24.5,53675,27964
"Staunton, VA Metro Area",3.7,6.4,23.4,67711,39748
"Steamboat Springs, CO Micro Area",2.9,16.2,19.7,95144,48837
"Stephenville, TX Micro Area",5.6,6.9,19.8,59654,30108
"Sterling, CO Micro Area",3.2,7.6,17.4,54864,34112
"Sterling, IL Micro Area",4.4,4.1,19.9,62828,39454
"Stevens Point, WI Micro Area",3.3,11.2,19.6,71301,37376
"Stillwater, OK Micro Area",4.8,7.7,18.6,46658,25107
"Stockton, CA Metro Area",7.2,8.0,35.2,82837,41213
"Storm Lake, IA Micro Area",5.0,6.0,14.8,62662,36555
"Sturgis, MI Micro Area",5.3,5.7,20.9,62281,36171
"Sulphur Springs, TX Micro Area",4.8,5.4,23.4,63766,35270
"Summerville, GA Micro Area",4.7,2.8,27.4,43556,32474
"Sumter, SC Metro Area",7.8,4.3,23.9,52942,33854
"Sunbury, PA Micro Area",4.7,7.4,25.4,55952,37490
"Susanville, CA Micro Area",7.9,5.7,20.1,59515,39272
"Sweetwater, TX Micro Area",6.6,3.1,17.9,47437,30436
"Syracuse, NY Metro Area",5.8,9.2,21.3,70096,41050
"Tahlequah, OK Micro Area",5.6,6.0,24.8,52410,31986
"Talladega-Sylacauga, AL Micro Area",8.4,2.8,26.8,52457,34188
"Tallahassee, FL Metro Area",5.4,10.4,22.7,59757,33978
"Tampa-St. Petersburg-Clearwater, FL Metro Area",4.9,15.2,27.7,67197,40868
"Taos, NM Micro Area",5.9,15.0,22.6,55145,29458
"Taylorville, IL Micro Area",4.4,5.6,22.0,56933,36623
"Terre Haute, IN Metro Area",5.8,4.7,23.0,56449,34163
"Texarkana, TX-AR Metro Area",5.4,3.8,20.0,53628,37059
"The Dalles, OR Micro Area",7.1,7.1,17.6,61316,36914
"The Villages, FL Metro Area",5.1,12.2,27.1,70105,31772
"Thomaston, GA Micro Area",3.1,2.4,23.7,48740,34152
"Thomasville, GA Micro Area",6.2,5.8,19.8,55958,36561
"Tiffin, OH Micro Area",4.2,4.8,21.2,62476,36332
"Tifton, GA Micro Area",2.9,4.2,21.1,52561,35181
"Toccoa, GA Micro Area",5.8,6.2,23.2,52901,30210
"Toledo, OH Metro Area",5.9,6.3,21.1,61620,36952
"Topeka, KS Metro Area",3.9,8.8,20.7,65665,40763
"Torrington, CT Micro Area",5.5,11.0,28.7,89394,49566
"Traverse City, MI Micro Area",3.9,11.2,22.8,73845,37065
"Trenton-Princeton, NJ Metro Area",6.1,15.6,27.5,92697,47012
"Troy, AL Micro Area",4.9,3.6,20.3,42616,28119
"Truckee-Grass Valley, CA Micro Area",4.4,21.8,24.3,79395,41231
"Tucson, AZ Metro Area",5.9,12.1,24.5,64323,35472
"Tullahoma-Manchester, TN Micro Area",3.8,7.5,24.4,58259,34776
"Tulsa, OK Metro Area",5.1,8.3,21.9,65784,39203
"Tupelo, MS Micro Area",4.6,3.6,23.1,59860,36735
"Tuscaloosa, AL Metro Area",5.6,5.3,24.3,58132,33648
"Twin Falls, ID Metro Area",3.2,6.9,18.9,62912,34075
"Tyler, TX Metro Area",4.7,7.0,23.2,69053,36490
"Ukiah, CA Micro Area",9.1,10.2,21.7,61335,34738
"Union, SC Micro Area",10.2,2.1,27.8,42305,32665
"Union City, TN Micro Area",5.0,3.8,19.8,50638,34118
"Urbana, OH Micro Area",4.5,6.9,26.5,70486,40108
"Urban Honolulu, HI Metro Area",4.8,7.5,27.4,99816,46314
"Utica-Rome, NY Metro Area",4.4,8.2,21.3,66823,40886
"Uvalde, TX Micro Area",3.2,3.3,17.6,55000,29080
"Valdosta, GA Metro Area",4.8,4.1,20.4,51216,33324
"Vallejo, CA Metro Area",5.9,9.6,32.7,97037,48170
"Van Wert, OH Micro Area",3.8,3.6,20.2,64841,40811
"Vermillion, SD Micro Area",8.2,7.6,16.9,55963,22296
"Vernal, UT Micro Area",6.3,5.8,19.6,67983,34296
"Vernon, TX Micro Area",9.3,3.3,16.0,50769,28135
"Vicksburg, MS Micro Area",4.7,2.6,21.1,54117,34101
"Victoria, TX Metro Area",5.1,6.0,22.2,66105,35823
"Vidalia, GA Micro Area",6.3,4.9,25.3,47430,33340
"Vincennes, IN Micro Area",3.2,2.1,20.6,58173,37069
"Vineland-Bridgeton, NJ Metro Area",7.8,4.8,24.4,62310,35050
"Vineyard Haven, MA Micro Area",7.0,17.7,15.7,93225,45503
"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",5.2,9.1,24.8,77082,42750
"Visalia, CA Metro Area",9.0,5.2,23.2,64474,33102
"Wabash, IN Micro Area",3.5,4.7,20.5,66194,37969
"Waco, TX Metro Area",4.6,6.9,20.8,59193,33336
"Wahpeton, ND-MN Micro Area",3.2,7.0,20.1,67099,38603
"Walla Walla, WA Metro Area",5.8,10.4,15.1,66635,34419
"Wapakoneta, OH Micro Area",2.9,4.8,18.7,75231,44054
"Warner Robins, GA Metro Area",5.1,7.5,22.7,73788,42185
"Warren, PA Micro Area",4.3,4.3,20.1,57925,34778
"Warrensburg, MO Micro Area",4.8,5.2,23.1,62503,32761
"Warsaw, IN Micro Area",3.3,7.0,20.0,70945,40436
"Washington, IN Micro Area",1.9,4.7,23.1,64113,40042
"Washington, NC Micro Area",5.6,7.1,24.1,56081,35833
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",4.9,19.3,33.7,119803,60914
"Washington Court House, OH Micro Area",4.3,4.4,26.8,56773,37451
"Waterloo-Cedar Falls, IA Metro Area",4.7,8.2,17.6,66732,37201
"Watertown, SD Micro Area",1.7,5.6,15.5,67993,38715
"Watertown-Fort Atkinson, WI Micro Area",3.4,7.9,25.3,77018,41499
"Watertown-Fort Drum, NY Metro Area",6.4,6.3,19.6,62782,36719
"Wauchula, FL Micro Area",8.7,3.7,27.6,44665,33033
"Wausau-Weston, WI Metro Area",3.4,9.8,19.6,71675,42068
"Waycross, GA Micro Area",3.5,3.2,23.3,49055,32859
"Weatherford, OK Micro Area",2.9,3.0,18.7,58669,31270
"Weirton-Steubenville, WV-OH Metro Area",6.3,7.0,23.7,54142,34345
"Wenatchee, WA Metro Area",3.7,8.0,20.2,75185,38540
"West Plains, MO Micro Area",5.5,3.2,20.7,46401,30733
"West Point, MS Micro Area",8.9,8.6,22.2,37412,31445
"Wheeling, WV-OH Metro Area",5.4,4.8,24.3,56691,32845
"Whitewater, WI Micro Area",3.1,8.9,24.8,75172,38709
"Wichita, KS Metro Area",5.0,6.5,20.3,66643,38526
"Wichita Falls, TX Metro Area",3.9,5.9,16.8,60641,34402
"Williamsport, PA Metro Area",5.3,6.3,20.7,63437,36135
"Williston, ND Micro Area",2.5,2.9,16.9,86139,50925
"Willmar, MN Micro Area",3.8,7.5,17.5,73285,38232
"Wilmington, NC Metro Area",5.1,14.0,22.6,68845,39353
"Wilmington, OH Micro Area",4.7,6.1,26.1,64210,35664
"Wilson, NC Micro Area",6.6,5.2,22.6,49827,34991
"Winchester, VA-WV Metro Area",5.0,9.4,31.0,79416,43674
"Winfield, KS Micro Area",5.3,4.2,20.6,55726,32952
"Winnemucca, NV Micro Area",4.3,8.8,27.9,75574,44556
"Winona, MN Micro Area",2.8,8.2,17.5,66162,33289
"Winston-Salem, NC Metro Area",5.2,8.9,24.3,60145,37249
"Wisconsin Rapids-Marshfield, WI Micro Area",4.2,7.7,20.9,63273,40450
"Woodward, OK Micro Area",5.8,2.9,21.6,60873,34962
"Wooster, OH Micro Area",3.3,6.2,20.2,70320,37892
"Worcester, MA-CT Metro Area",5.8,12.2,29.1,86708,48418
"Worthington, MN Micro Area",3.0,5.4,18.9,62973,35849
"Yakima, WA Metro Area",7.2,5.4,19.7,64910,34577
"Yankton, SD Micro Area",1.6,5.5,14.7,68847,41085
"Yauco, PR Metro Area",17.4,2.9,22.7,19166,16623
"York-Hanover, PA Metro Area",4.6,9.1,26.8,79183,44067
"Youngstown-Warren-Boardman, OH-PA Metro Area",6.0,6.5,22.6,54650,34658
"Yuba City, CA Metro Area",7.5,6.7,29.5,70176,38520
"Yuma, AZ Metro Area",8.3,5.9,20.8,56439,32675
"Zanesville, OH Micro Area",4.6,4.3,25.0,56810,36022
"Zapata, TX Micro Area",8.1,6.7,24.0,35061,24990
