"Label (Grouping)","EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate","COMMUTING TO WORK!!Workers 16 years and over!!Worked from home","COMMUTING TO WORK!!Workers 16 years and over!!Mean travel time to work (minutes)","INCOME AND BENEFITS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Total households!!Median household income (dollars)","INCOME AND BENEFITS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Median earnings for workers (dollars)"
"    Estimate","(X)","469","19.7","38,394","31,840"
"    Percent","9.5%","2.9%","(X)","(X)","(X)"
"Greenville, NC Metro Area","","","","",""
"    Estimate","(X)","7,317","21.3","54,915","35,434"
"    Percent","7.5%","9.1%","(X)","(X)","(X)"
"Greenville, OH Micro Area","","","","",""
"    Estimate","(X)","1,288","22.3","60,237","37,917"
"    Percent","2.6%","5.3%","(X)","(X)","(X)"
"Greenville-Anderson, SC Metro Area","","","","",""
"    Estimate","(X)","38,853","24.9","66,226","38,181"
"    Percent","4.5%","8.9%","(X)","(X)","(X)"
"Greenwood, MS Micro Area","","","","",""
"    Estimate","(X)","559","21.9","35,452","29,275"
"    Percent","10.3%","4.1%","(X)","(X)","(X)"
"Greenwood, SC Micro Area","","","","",""
"    Estimate","(X)","793","19.8","47,553","34,634"
"    Percent","5.5%","2.7%","(X)","(X)","(X)"
"Grenada, MS Micro Area","","","","",""
"    Estimate","(X)","122","21.2","45,745","32,701"
"    Percent","4.1%","1.4%","(X)","(X)","(X)"
"Guayama, PR Metro Area","","","","",""
"    Estimate","(X)","345","28.0","19,290","19,876"
"    Percent","9.4%","2.0%","(X)","(X)","(X)"
"Gulfport-Biloxi, MS Metro Area","","","","",""
"    Estimate","(X)","9,680","25.7","58,287","34,690"
"    Percent","8.0%","5.4%","(X)","(X)","(X)"
"Guymon, OK Micro Area","","","","",""
"    Estimate","(X)","329","15.2","55,682","33,306"
"    Percent","2.7%","3.3%","(X)","(X)","(X)"
"Hagerstown-Martinsburg, MD-WV Metro Area","","","","",""
"    Estimate","(X)","12,379","30.5","72,751","42,895"
"    Percent","4.8%","8.9%","(X)","(X)","(X)"
"Hailey, ID Micro Area","","","","",""
"    Estimate","(X)","1,844","18.9","81,271","36,703"
"    Percent","2.4%","13.4%","(X)","(X)","(X)"
"Hammond, LA Metro Area","","","","",""
"    Estimate","(X)","3,056","29.6","55,274","33,539"
"    Percent","5.6%","5.4%","(X)","(X)","(X)"
"Hanford-Corcoran, CA Metro Area","","","","",""
"    Estimate","(X)","2,557","23.1","68,540","37,052"
"    Percent","9.2%","4.5%","(X)","(X)","(X)"
"Hannibal, MO Micro Area","","","","",""
"    Estimate","(X)","1,108","19.2","62,527","35,283"
"    Percent","3.5%","6.3%","(X)","(X)","(X)"
"Harrisburg-Carlisle, PA Metro Area","","","","",""
"    Estimate","(X)","35,880","22.9","76,189","44,822"
"    Percent","4.0%","12.2%","(X)","(X)","(X)"
"Harrison, AR Micro Area","","","","",""
"    Estimate","(X)","1,763","21.0","52,078","33,013"
"    Percent","4.3%","9.5%","(X)","(X)","(X)"
"Harrisonburg, VA Metro Area","","","","",""
"    Estimate","(X)","4,596","20.1","66,823","31,155"
"    Percent","4.3%","7.1%","(X)","(X)","(X)"
"Hartford-East Hartford-Middletown, CT Metro Area","","","","",""
"    Estimate","(X)","79,903","24.0","89,371","50,306"
"    Percent","5.4%","13.0%","(X)","(X)","(X)"
"Hastings, NE Micro Area","","","","",""
"    Estimate","(X)","694","16.8","61,502","35,808"
"    Percent","2.7%","4.6%","(X)","(X)","(X)"
"Hattiesburg, MS Metro Area","","","","",""
"    Estimate","(X)","1,872","23.9","55,078","31,904"
"    Percent","6.6%","2.5%","(X)","(X)","(X)"
"Hays, KS Micro Area","","","","",""
"    Estimate","(X)","937","13.2","59,665","32,521"
"    Percent","3.3%","5.7%","(X)","(X)","(X)"
"Heber, UT Micro Area","","","","",""
"    Estimate","(X)","7,349","22.9","114,857","46,537"
"    Percent","2.3%","18.5%","(X)","(X)","(X)"
"Helena, MT Micro Area","","","","",""
"    Estimate","(X)","4,790","18.0","72,168","42,260"
"    Percent","3.4%","11.6%","(X)","(X)","(X)"
"Helena-West Helena, AR Micro Area","","","","",""
"    Estimate","(X)","247","20.1","37,458","35,219"
"    Percent","13.3%","4.5%","(X)","(X)","(X)"
"Henderson, NC Micro Area","","","","",""
"    Estimate","(X)","1,497","25.3","48,340","30,567"
"    Percent","7.0%","8.5%","(X)","(X)","(X)"
"Hereford, TX Micro Area","","","","",""
"    Estimate","(X)","241","17.0","51,942","33,931"
"    Percent","2.1%","2.9%","(X)","(X)","(X)"
"Hermiston-Pendleton, OR Micro Area","","","","",""
"    Estimate","(X)","1,911","19.2","69,901","36,687"
"    Percent","6.3%","5.0%","(X)","(X)","(X)"
"Hickory-Lenoir-Morganton, NC Metro Area","","","","",""
"    Estimate","(X)","9,103","23.9","57,943","36,275"
"    Percent","5.5%","5.5%","(X)","(X)","(X)"
"Hillsdale, MI Micro Area","","","","",""
"    Estimate","(X)","1,678","24.7","59,425","34,775"
"    Percent","4.4%","8.5%","(X)","(X)","(X)"
"Hilo, HI Micro Area","","","","",""
"    Estimate","(X)","9,037","27.5","74,238","38,608"
"    Percent","6.5%","10.4%","(X)","(X)","(X)"
"Hilton Head Island-Bluffton, SC Metro Area","","","","",""
"    Estimate","(X)","9,772","23.6","77,536","36,481"
"    Percent","3.5%","10.1%","(X)","(X)","(X)"
"Hinesville, GA Metro Area","","","","",""
"    Estimate","(X)","2,014","25.0","55,427","33,931"
"    Percent","7.8%","5.4%","(X)","(X)","(X)"
"Hobbs, NM Micro Area","","","","",""
"    Estimate","(X)","1,004","24.5","65,855","38,890"
"    Percent","7.4%","3.3%","(X)","(X)","(X)"
"Holland, MI Micro Area","","","","",""
"    Estimate","(X)","4,140","23.9","75,543","41,508"
"    Percent","3.4%","7.4%","(X)","(X)","(X)"
"Homosassa Springs, FL Metro Area","","","","",""
"    Estimate","(X)","5,319","27.9","52,569","32,938"
"    Percent","7.2%","11.0%","(X)","(X)","(X)"
"Hood River, OR Micro Area","","","","",""
"    Estimate","(X)","1,968","18.4","80,254","39,066"
"    Percent","3.3%","15.6%","(X)","(X)","(X)"
"Hope, AR Micro Area","","","","",""
"    Estimate","(X)","133","24.6","44,423","33,106"
"    Percent","5.4%","1.2%","(X)","(X)","(X)"
"Hot Springs, AR Metro Area","","","","",""
"    Estimate","(X)","2,241","21.5","54,229","31,460"
"    Percent","5.7%","5.5%","(X)","(X)","(X)"
"Houghton, MI Micro Area","","","","",""
"    Estimate","(X)","1,528","16.1","52,857","24,207"
"    Percent","6.1%","8.9%","(X)","(X)","(X)"
"Houma-Thibodaux, LA Metro Area","","","","",""
"    Estimate","(X)","3,068","26.7","62,443","39,392"
"    Percent","6.2%","3.5%","(X)","(X)","(X)"
"Houston-The Woodlands-Sugar Land, TX Metro Area","","","","",""
"    Estimate","(X)","346,341","29.8","78,061","42,784"
"    Percent","6.0%","10.3%","(X)","(X)","(X)"
"Hudson, NY Micro Area","","","","",""
"    Estimate","(X)","4,069","25.8","81,741","41,710"
"    Percent","5.9%","14.0%","(X)","(X)","(X)"
"Huntingdon, PA Micro Area","","","","",""
"    Estimate","(X)","1,047","30.5","61,300","33,922"
"    Percent","5.1%","5.8%","(X)","(X)","(X)"
"Huntington, IN Micro Area","","","","",""
"    Estimate","(X)","1,088","22.2","59,894","37,485"
"    Percent","3.4%","6.2%","(X)","(X)","(X)"
"Huntington-Ashland, WV-KY-OH Metro Area","","","","",""
"    Estimate","(X)","7,719","23.9","55,964","35,556"
"    Percent","5.3%","5.4%","(X)","(X)","(X)"
"Huntsville, AL Metro Area","","","","",""
"    Estimate","(X)","25,572","22.8","78,521","44,516"
"    Percent","4.2%","10.7%","(X)","(X)","(X)"
"Huntsville, TX Micro Area","","","","",""
"    Estimate","(X)","1,971","26.5","47,193","29,797"
"    Percent","7.0%","7.0%","(X)","(X)","(X)"
"Huron, SD Micro Area","","","","",""
"    Estimate","(X)","609","14.2","64,167","38,249"
"    Percent","2.1%","6.0%","(X)","(X)","(X)"
"Hutchinson, KS Micro Area","","","","",""
"    Estimate","(X)","1,664","18.1","57,390","34,552"
"    Percent","4.2%","5.8%","(X)","(X)","(X)"
"Hutchinson, MN Micro Area","","","","",""
"    Estimate","(X)","1,297","23.8","73,296","44,020"
"    Percent","3.2%","6.9%","(X)","(X)","(X)"
"Idaho Falls, ID Metro Area","","","","",""
"    Estimate","(X)","5,955","21.5","73,337","34,029"
"    Percent","4.1%","8.5%","(X)","(X)","(X)"
"Indiana, PA Micro Area","","","","",""
"    Estimate","(X)","2,554","24.5","57,170","29,442"
"    Percent","6.5%","7.2%","(X)","(X)","(X)"
"Indianapolis-Carmel-Anderson, IN Metro Area","","","","",""
"    Estimate","(X)","123,640","25.4","73,571","43,449"
"    Percent","4.3%","11.8%","(X)","(X)","(X)"
"Indianola, MS Micro Area","","","","",""
"    Estimate","(X)","364","19.2","37,403","27,568"
"    Percent","11.1%","4.2%","(X)","(X)","(X)"
"Iowa City, IA Metro Area","","","","",""
"    Estimate","(X)","9,757","20.1","72,680","34,778"
"    Percent","3.7%","10.4%","(X)","(X)","(X)"
"Iron Mountain, MI-WI Micro Area","","","","",""
"    Estimate","(X)","1,073","16.9","59,483","38,277"
"    Percent","4.1%","7.9%","(X)","(X)","(X)"
"Ithaca, NY Metro Area","","","","",""
"    Estimate","(X)","7,746","20.2","69,995","36,034"
"    Percent","4.7%","16.0%","(X)","(X)","(X)"
"Jackson, MI Metro Area","","","","",""
"    Estimate","(X)","5,542","22.7","62,581","37,045"
"    Percent","6.3%","8.1%","(X)","(X)","(X)"
"Jackson, MS Metro Area","","","","",""
"    Estimate","(X)","15,587","25.1","60,085","36,741"
"    Percent","6.0%","6.0%","(X)","(X)","(X)"
"Jackson, OH Micro Area","","","","",""
"    Estimate","(X)","673","28.3","56,549","37,589"
"    Percent","5.9%","5.0%","(X)","(X)","(X)"
"Jackson, TN Metro Area","","","","",""
"    Estimate","(X)","4,678","22.0","55,807","34,528"
"    Percent","6.6%","6.0%","(X)","(X)","(X)"
"Jackson, WY-ID Micro Area","","","","",""
"    Estimate","(X)","2,997","20.1","102,435","45,533"
"    Percent","1.9%","14.1%","(X)","(X)","(X)"
"Jacksonville, FL Metro Area","","","","",""
"    Estimate","(X)","99,978","26.3","73,194","41,483"
"    Percent","4.5%","12.9%","(X)","(X)","(X)"
"Jacksonville, IL Micro Area","","","","",""
"    Estimate","(X)","1,286","21.3","62,004","37,993"
"    Percent","5.9%","7.9%","(X)","(X)","(X)"
"Jacksonville, NC Metro Area","","","","",""
"    Estimate","(X)","8,663","22.0","59,976","31,016"
"    Percent","6.4%","8.3%","(X)","(X)","(X)"
"Jacksonville, TX Micro Area","","","","",""
"    Estimate","(X)","1,727","26.9","56,971","30,756"
"    Percent","5.8%","8.8%","(X)","(X)","(X)"
"Jamestown, ND Micro Area","","","","",""
"    Estimate","(X)","545","15.6","59,167","36,956"
"    Percent","4.7%","5.1%","(X)","(X)","(X)"
"Jamestown-Dunkirk-Fredonia, NY Micro Area","","","","",""
"    Estimate","(X)","3,276","19.0","54,625","34,938"
"    Percent","5.4%","6.1%","(X)","(X)","(X)"
"Janesville-Beloit, WI Metro Area","","","","",""
"    Estimate","(X)","5,433","23.2","70,630","41,294"
"    Percent","3.9%","6.7%","(X)","(X)","(X)"
"Jasper, AL Micro Area","","","","",""
"    Estimate","(X)","987","30.0","52,987","36,516"
"    Percent","5.7%","3.9%","(X)","(X)","(X)"
"Jasper, IN Micro Area","","","","",""
"    Estimate","(X)","1,078","20.2","67,610","40,394"
"    Percent","2.2%","3.8%","(X)","(X)","(X)"
"Jayuya, PR Micro Area","","","","",""
"    Estimate","(X)","87","23.2","18,363","17,586"
"    Percent","19.8%","2.5%","(X)","(X)","(X)"
"Jefferson, GA Micro Area","","","","",""
"    Estimate","(X)","4,198","30.7","82,056","41,455"
"    Percent","3.6%","11.5%","(X)","(X)","(X)"
"Jefferson City, MO Metro Area","","","","",""
"    Estimate","(X)","4,512","21.4","70,195","38,572"
"    Percent","3.5%","6.3%","(X)","(X)","(X)"
"Jennings, LA Micro Area","","","","",""
"    Estimate","(X)","364","31.4","52,470","35,377"
"    Percent","4.0%","2.8%","(X)","(X)","(X)"
"Jesup, GA Micro Area","","","","",""
"    Estimate","(X)","403","26.8","49,847","32,269"
"    Percent","6.2%","3.7%","(X)","(X)","(X)"
"Johnson City, TN Metro Area","","","","",""
"    Estimate","(X)","6,746","22.0","54,217","33,699"
"    Percent","5.6%","7.3%","(X)","(X)","(X)"
"Johnstown, PA Metro Area","","","","",""
"    Estimate","(X)","4,401","23.9","54,221","35,619"
"    Percent","5.0%","7.8%","(X)","(X)","(X)"
"Jonesboro, AR Metro Area","","","","",""
"    Estimate","(X)","2,524","20.2","52,709","34,127"
"    Percent","5.8%","4.3%","(X)","(X)","(X)"
"Joplin, MO Metro Area","","","","",""
"    Estimate","(X)","6,001","19.9","56,930","33,209"
"    Percent","4.2%","7.3%","(X)","(X)","(X)"
"Juneau, AK Micro Area","","","","",""
"    Estimate","(X)","1,709","16.0","95,711","52,020"
"    Percent","4.5%","10.4%","(X)","(X)","(X)"
"Kahului-Wailuku-Lahaina, HI Metro Area","","","","",""
"    Estimate","(X)","6,776","22.7","95,379","43,332"
"    Percent","5.4%","8.5%","(X)","(X)","(X)"
"Kalamazoo-Portage, MI Metro Area","","","","",""
"    Estimate","(X)","12,051","20.4","67,905","37,041"
"    Percent","6.4%","9.3%","(X)","(X)","(X)"
"Kalispell, MT Micro Area","","","","",""
"    Estimate","(X)","7,039","19.0","68,025","36,003"
"    Percent","3.2%","13.7%","(X)","(X)","(X)"
"Kankakee, IL Metro Area","","","","",""
"    Estimate","(X)","2,884","24.7","65,489","37,969"
"    Percent","5.2%","5.9%","(X)","(X)","(X)"
"Kansas City, MO-KS Metro Area","","","","",""
"    Estimate","(X)","143,607","23.4","78,827","45,704"
"    Percent","4.2%","13.0%","(X)","(X)","(X)"
"Kapaa, HI Micro Area","","","","",""
"    Estimate","(X)","2,935","21.1","88,869","40,084"
"    Percent","4.1%","8.6%","(X)","(X)","(X)"
"Kearney, NE Micro Area","","","","",""
"    Estimate","(X)","1,432","16.7","70,727","36,228"
"    Percent","2.7%","4.7%","(X)","(X)","(X)"
"Keene, NH Micro Area","","","","",""
"    Estimate","(X)","4,266","23.3","76,551","41,017"
"    Percent","3.5%","11.1%","(X)","(X)","(X)"
"Kendallville, IN Micro Area","","","","",""
"    Estimate","(X)","1,051","24.4","70,286","41,624"
"    Percent","3.4%","4.7%","(X)","(X)","(X)"
"Kennett, MO Micro Area","","","","",""
"    Estimate","(X)","449","23.0","44,868","32,246"
"    Percent","5.7%","4.1%","(X)","(X)","(X)"
"Kennewick-Richland, WA Metro Area","","","","",""
"    Estimate","(X)","11,836","22.3","82,146","42,591"
"    Percent","5.1%","8.8%","(X)","(X)","(X)"
"Kerrville, TX Micro Area","","","","",""
"    Estimate","(X)","2,077","21.1","66,713","34,074"
"    Percent","3.3%","9.1%","(X)","(X)","(X)"
"Ketchikan, AK Micro Area","","","","",""
"    Estimate","(X)","294","14.0","82,763","46,905"
"    Percent","4.1%","4.2%","(X)","(X)","(X)"
"Key West, FL Micro Area","","","","",""
"    Estimate","(X)","4,408","19.4","80,111","40,709"
"    Percent","3.4%","10.3%","(X)","(X)","(X)"
"Kill Devil Hills, NC Micro Area","","","","",""
"    Estimate","(X)","2,320","23.0","79,742","38,484"
"    Percent","5.1%","12.4%","(X)","(X)","(X)"
"Killeen-Temple, TX Metro Area","","","","",""
"    Estimate","(X)","16,342","23.3","63,394","34,829"
"    Percent","7.5%","7.7%","(X)","(X)","(X)"
"Kingsport-Bristol, TN-VA Metro Area","","","","",""
"    Estimate","(X)","9,529","23.5","53,644","35,286"
"    Percent","6.0%","7.5%","(X)","(X)","(X)"
"Kingston, NY Metro Area","","","","",""
"    Estimate","(X)","11,912","28.1","77,197","43,402"
"    Percent","5.1%","14.2%","(X)","(X)","(X)"
"Kingsville, TX Micro Area","","","","",""
"    Estimate","(X)","718","20.2","52,407","30,765"
"    Percent","7.5%","5.5%","(X)","(X)","(X)"
"Kinston, NC Micro Area","","","","",""
"    Estimate","(X)","549","23.6","43,063","30,679"
"    Percent","7.1%","2.5%","(X)","(X)","(X)"
"Kirksville, MO Micro Area","","","","",""
"    Estimate","(X)","685","19.0","51,618","28,874"
"    Percent","5.0%","5.9%","(X)","(X)","(X)"
"Klamath Falls, OR Micro Area","","","","",""
"    Estimate","(X)","1,935","16.9","57,219","35,283"
"    Percent","7.6%","7.2%","(X)","(X)","(X)"
"Knoxville, TN Metro Area","","","","",""
"    Estimate","(X)","41,889","24.1","66,715","38,567"
"    Percent","4.2%","10.1%","(X)","(X)","(X)"
"Kokomo, IN Metro Area","","","","",""
"    Estimate","(X)","1,994","20.5","62,014","36,846"
"    Percent","5.8%","5.5%","(X)","(X)","(X)"
"Laconia, NH Micro Area","","","","",""
"    Estimate","(X)","3,221","26.0","80,719","42,595"
"    Percent","2.7%","10.0%","(X)","(X)","(X)"
"La Crosse-Onalaska, WI-MN Metro Area","","","","",""
"    Estimate","(X)","6,492","19.6","69,043","39,726"
"    Percent","2.9%","8.9%","(X)","(X)","(X)"
"Lafayette, LA Metro Area","","","","",""
"    Estimate","(X)","14,111","25.7","58,150","38,909"
"    Percent","6.0%","6.7%","(X)","(X)","(X)"
"Lafayette-West Lafayette, IN Metro Area","","","","",""
"    Estimate","(X)","8,192","19.3","57,188","32,122"
"    Percent","3.5%","7.7%","(X)","(X)","(X)"
"La Grande, OR Micro Area","","","","",""
"    Estimate","(X)","817","16.9","61,946","34,551"
"    Percent","6.3%","7.2%","(X)","(X)","(X)"
"LaGrange, GA-AL Micro Area","","","","",""
"    Estimate","(X)","1,973","23.1","52,767","34,517"
"    Percent","4.4%","4.4%","(X)","(X)","(X)"
"Lake Charles, LA Metro Area","","","","",""
"    Estimate","(X)","4,222","22.2","64,764","37,200"
"    Percent","5.5%","4.5%","(X)","(X)","(X)"
"Lake City, FL Micro Area","","","","",""
"    Estimate","(X)","1,704","25.3","53,501","34,992"
"    Percent","6.9%","6.3%","(X)","(X)","(X)"
"Lake Havasu City-Kingman, AZ Metro Area","","","","",""
"    Estimate","(X)","4,854","21.1","53,592","33,132"
"    Percent","7.5%","6.5%","(X)","(X)","(X)"
"Lakeland-Winter Haven, FL Metro Area","","","","",""
"    Estimate","(X)","27,895","29.5","60,901","35,090"
"    Percent","4.6%","8.8%","(X)","(X)","(X)"
"Lamesa, TX Micro Area","","","","",""
"    Estimate","(X)","171","21.8","45,268","28,387"
"    Percent","9.5%","4.1%","(X)","(X)","(X)"
"Lancaster, PA Metro Area","","","","",""
"    Estimate","(X)","24,891","23.8","81,458","42,337"
"    Percent","3.4%","9.1%","(X)","(X)","(X)"
"Lansing-East Lansing, MI Metro Area","","","","",""
"    Estimate","(X)","30,900","22.4","68,270","37,302"
"    Percent","5.4%","11.8%","(X)","(X)","(X)"
"Laramie, WY Micro Area","","","","",""
"    Estimate","(X)","1,622","14.3","55,887","24,688"
"    Percent","4.4%","7.9%","(X)","(X)","(X)"
"Laredo, TX Metro Area","","","","",""
"    Estimate","(X)","5,462","21.8","59,984","29,927"
"    Percent","5.9%","4.9%","(X)","(X)","(X)"
"Las Cruces, NM Metro Area","","","","",""
"    Estimate","(X)","6,829","22.5","51,232","28,890"
"    Percent","6.8%","7.5%","(X)","(X)","(X)"
"Las Vegas, NM Micro Area","","","","",""
"    Estimate","(X)","1,414","23.8","42,301","27,063"
"    Percent","7.0%","11.9%","(X)","(X)","(X)"
"Las Vegas-Henderson-Paradise, NV Metro Area","","","","",""
"    Estimate","(X)","95,269","25.1","69,911","39,294"
"    Percent","7.7%","9.2%","(X)","(X)","(X)"
"Laurel, MS Micro Area","","","","",""
"    Estimate","(X)","707","27.0","48,389","33,322"
"    Percent","3.7%","2.1%","(X)","(X)","(X)"
"Laurinburg, NC Micro Area","","","","",""
"    Estimate","(X)","549","24.4","41,948","30,566"
"    Percent","10.8%","4.5%","(X)","(X)","(X)"
"Lawrence, KS Metro Area","","","","",""
"    Estimate","(X)","7,685","20.2","66,153","31,737"
"    Percent","4.8%","11.7%","(X)","(X)","(X)"
"Lawrenceburg, TN Micro Area","","","","",""
"    Estimate","(X)","1,003","26.1","51,038","35,725"
"    Percent","6.3%","5.5%","(X)","(X)","(X)"
"Lawton, OK Metro Area","","","","",""
"    Estimate","(X)","6,046","18.7","57,196","33,044"
"    Percent","6.4%","10.7%","(X)","(X)","(X)"
"Lebanon, MO Micro Area","","","","",""
"    Estimate","(X)","712","20.0","49,202","34,228"
"    Percent","5.9%","4.6%","(X)","(X)","(X)"
"Lebanon, NH-VT Micro Area","","","","",""
"    Estimate","(X)","13,182","23.9","74,152","42,195"
"    Percent","3.1%","12.0%","(X)","(X)","(X)"
"Lebanon, PA Metro Area","","","","",""
"    Estimate","(X)","5,790","22.2","72,532","40,278"
"    Percent","4.4%","8.5%","(X)","(X)","(X)"
"Levelland, TX Micro Area","","","","",""
"    Estimate","(X)","341","22.3","53,283","35,024"
"    Percent","5.3%","3.6%","(X)","(X)","(X)"
"Lewisburg, PA Micro Area","","","","",""
"    Estimate","(X)","1,083","18.9","64,914","31,755"
"    Percent","3.5%","6.6%","(X)","(X)","(X)"
"Lewisburg, TN Micro Area","","","","",""
"    Estimate","(X)","1,503","30.5","65,325","40,177"
"    Percent","5.8%","9.6%","(X)","(X)","(X)"
"Lewiston, ID-WA Metro Area","","","","",""
"    Estimate","(X)","2,199","16.5","64,488","37,571"
"    Percent","4.1%","7.6%","(X)","(X)","(X)"
"Lewiston-Auburn, ME Metro Area","","","","",""
"    Estimate","(X)","5,937","24.4","64,500","39,659"
"    Percent","4.8%","10.9%","(X)","(X)","(X)"
"Lewistown, PA Micro Area","","","","",""
"    Estimate","(X)","1,120","24.8","58,012","36,844"
"    Percent","3.9%","5.3%","(X)","(X)","(X)"
"Lexington, NE Micro Area","","","","",""
"    Estimate","(X)","275","19.3","68,128","39,282"
"    Percent","2.0%","2.1%","(X)","(X)","(X)"
"Lexington-Fayette, KY Metro Area","","","","",""
"    Estimate","(X)","24,180","21.8","68,089","37,896"
"    Percent","4.7%","9.4%","(X)","(X)","(X)"
"Liberal, KS Micro Area","","","","",""
"    Estimate","(X)","357","14.9","57,131","35,800"
"    Percent","2.7%","3.4%","(X)","(X)","(X)"
"Lima, OH Metro Area","","","","",""
"    Estimate","(X)","2,031","19.0","58,976","36,032"
"    Percent","6.1%","4.5%","(X)","(X)","(X)"
"Lincoln, IL Micro Area","","","","",""
"    Estimate","(X)","804","21.1","62,547","37,175"
"    Percent","5.2%","6.7%","(X)","(X)","(X)"
"Lincoln, NE Metro Area","","","","",""
"    Estimate","(X)","16,089","19.1","70,899","37,549"
"    Percent","3.1%","8.8%","(X)","(X)","(X)"
"Little Rock-North Little Rock-Conway, AR Metro Area","","","","",""
"    Estimate","(X)","26,583","23.3","62,664","40,726"
"    Percent","4.6%","7.6%","(X)","(X)","(X)"
"Lock Haven, PA Micro Area","","","","",""
"    Estimate","(X)","1,250","23.8","59,011","34,849"
"    Percent","5.3%","7.2%","(X)","(X)","(X)"
"Logan, UT-ID Metro Area","","","","",""
"    Estimate","(X)","7,773","17.7","71,739","29,764"
"    Percent","2.3%","10.7%","(X)","(X)","(X)"
"Logansport, IN Micro Area","","","","",""
"    Estimate","(X)","532","21.3","55,862","35,311"
"    Percent","4.2%","3.0%","(X)","(X)","(X)"
"London, KY Micro Area","","","","",""
"    Estimate","(X)","3,756","23.3","45,127","30,947"
"    Percent","6.0%","7.0%","(X)","(X)","(X)"
"Longview, TX Metro Area","","","","",""
"    Estimate","(X)","6,197","23.6","62,910","35,462"
"    Percent","4.7%","5.0%","(X)","(X)","(X)"
"Longview, WA Metro Area","","","","",""
"    Estimate","(X)","3,181","27.5","70,912","41,020"
"    Percent","5.5%","6.9%","(X)","(X)","(X)"
"Los Alamos, NM Micro Area","","","","",""
"    Estimate","(X)","1,206","16.0","135,801","83,135"
"    Percent","1.9%","11.8%","(X)","(X)","(X)"
"Los Angeles-Long Beach-Anaheim, CA Metro Area","","","","",""
"    Estimate","(X)","853,708","30.1","89,105","42,463"
"    Percent","6.6%","13.5%","(X)","(X)","(X)"
"Louisville/Jefferson County, KY-IN Metro Area","","","","",""
"    Estimate","(X)","64,817","23.8","69,771","41,335"
"    Percent","4.7%","10.3%","(X)","(X)","(X)"
"Lubbock, TX Metro Area","","","","",""
"    Estimate","(X)","8,932","17.0","61,535","34,207"
"    Percent","4.6%","5.7%","(X)","(X)","(X)"
"Ludington, MI Micro Area","","","","",""
"    Estimate","(X)","940","19.4","60,744","34,205"
"    Percent","4.8%","7.7%","(X)","(X)","(X)"
"Lufkin, TX Micro Area","","","","",""
"    Estimate","(X)","1,629","22.4","57,055","33,359"
"    Percent","6.0%","4.4%","(X)","(X)","(X)"
"Lumberton, NC Micro Area","","","","",""
"    Estimate","(X)","1,395","24.8","39,393","32,332"
"    Percent","6.4%","3.2%","(X)","(X)","(X)"
"Lynchburg, VA Metro Area","","","","",""
"    Estimate","(X)","10,261","23.0","64,307","35,653"
"    Percent","4.3%","8.5%","(X)","(X)","(X)"
"Macomb, IL Micro Area","","","","",""
"    Estimate","(X)","657","19.3","48,904","24,324"
"    Percent","8.0%","5.2%","(X)","(X)","(X)"
"Macon-Bibb County, GA Metro Area","","","","",""
"    Estimate","(X)","6,018","24.4","54,700","34,951"
"    Percent","6.5%","6.2%","(X)","(X)","(X)"
"Madera, CA Metro Area","","","","",""
"    Estimate","(X)","4,308","29.5","73,543","32,111"
"    Percent","11.1%","7.5%","(X)","(X)","(X)"
"Madison, IN Micro Area","","","","",""
"    Estimate","(X)","723","22.3","57,801","35,275"
"    Percent","3.4%","4.9%","(X)","(X)","(X)"
"Madison, WI Metro Area","","","","",""
"    Estimate","(X)","54,093","21.7","82,996","46,979"
"    Percent","2.4%","14.4%","(X)","(X)","(X)"
"Madisonville, KY Micro Area","","","","",""
"    Estimate","(X)","585","22.1","54,466","38,024"
"    Percent","7.7%","3.3%","(X)","(X)","(X)"
"Magnolia, AR Micro Area","","","","",""
"    Estimate","(X)","233","20.7","47,441","30,170"
"    Percent","3.2%","2.6%","(X)","(X)","(X)"
"Malone, NY Micro Area","","","","",""
"    Estimate","(X)","1,198","20.3","60,270","37,203"
"    Percent","5.1%","6.3%","(X)","(X)","(X)"
"Malvern, AR Micro Area","","","","",""
"    Estimate","(X)","312","28.0","50,260","32,626"
"    Percent","4.6%","2.4%","(X)","(X)","(X)"
"Manchester-Nashua, NH Metro Area","","","","",""
"    Estimate","(X)","32,153","27.4","95,112","50,211"
"    Percent","3.7%","13.9%","(X)","(X)","(X)"
"Manhattan, KS Metro Area","","","","",""
"    Estimate","(X)","6,098","17.6","61,270","31,584"
"    Percent","4.3%","8.6%","(X)","(X)","(X)"
"Manitowoc, WI Micro Area","","","","",""
"    Estimate","(X)","2,703","20.0","66,412","41,131"
"    Percent","2.0%","6.7%","(X)","(X)","(X)"
"Mankato, MN Metro Area","","","","",""
"    Estimate","(X)","5,505","17.4","73,472","35,049"
"    Percent","3.1%","9.8%","(X)","(X)","(X)"
"Mansfield, OH Metro Area","","","","",""
"    Estimate","(X)","2,437","22.6","56,557","33,822"
"    Percent","4.8%","4.6%","(X)","(X)","(X)"
"Marietta, OH Micro Area","","","","",""
"    Estimate","(X)","1,724","23.3","59,053","35,168"
"    Percent","5.2%","6.5%","(X)","(X)","(X)"
"Marinette, WI-MI Micro Area","","","","",""
"    Estimate","(X)","1,688","21.1","58,291","37,990"
